,precision,recall,f1-score,support
snoRNA,0.575,0.6571428571428571,0.6133333333333333,35.0
rRNA,0.9370629370629371,0.9710144927536232,0.9537366548042706,138.0
snRNA,0.5263157894736842,0.45454545454545453,0.4878048780487805,22.0
mRNA,0.9835164835164835,0.9623655913978495,0.9728260869565217,186.0
pre_miRNA,0.7674418604651163,0.66,0.7096774193548386,50.0
miRNA,0.5873015873015873,0.7115384615384616,0.6434782608695652,52.0
tRNA,0.9666666666666667,0.9775280898876404,0.9720670391061451,89.0
tmRNA,1.0,0.8857142857142857,0.9393939393939393,70.0
accuracy,0.8800623052959502,0.8800623052959502,0.8800623052959502,0.8800623052959502
macro avg,0.7929131655608094,0.7849811541225216,0.7865397014834243,642.0
weighted avg,0.8861336565629968,0.8800623052959502,0.881582503569508,642.0
