,precision,recall,f1-score,support
snoRNA,0.5319148936170213,0.7142857142857143,0.6097560975609756,35.0
rRNA,0.9097744360902256,0.8768115942028986,0.8929889298892988,138.0
snRNA,0.7058823529411765,0.5454545454545454,0.6153846153846153,22.0
mRNA,0.8656716417910447,0.9354838709677419,0.8992248062015503,186.0
pre_miRNA,0.625,0.8,0.7017543859649122,50.0
miRNA,0.5294117647058824,0.34615384615384615,0.41860465116279066,52.0
tRNA,0.9560439560439561,0.9775280898876404,0.9666666666666667,89.0
tmRNA,0.9818181818181818,0.7714285714285715,0.864,70.0
accuracy,0.8271028037383178,0.8271028037383178,0.8271028037383178,0.8271028037383178
macro avg,0.763189653375936,0.7458932790476198,0.7460475191038511,642.0
weighted avg,0.83069287721928,0.8271028037383178,0.8235774232450956,642.0
