,precision,recall,f1-score,support
snoRNA,0.5333333333333333,0.6857142857142857,0.6,35.0
rRNA,0.9117647058823529,0.8985507246376812,0.9051094890510949,138.0
snRNA,0.6,0.4090909090909091,0.4864864864864865,22.0
mRNA,0.9193548387096774,0.9193548387096774,0.9193548387096774,186.0
pre_miRNA,0.5483870967741935,0.68,0.6071428571428571,50.0
miRNA,0.425531914893617,0.38461538461538464,0.40404040404040403,52.0
tRNA,0.9772727272727273,0.9662921348314607,0.9717514124293786,89.0
tmRNA,0.9841269841269841,0.8857142857142857,0.9323308270676691,70.0
accuracy,0.8255451713395638,0.8255451713395638,0.8255451713395638,0.8255451713395638
macro avg,0.7374714501241106,0.7286665704142106,0.7282770393659459,642.0
weighted avg,0.8319367166787706,0.8255451713395638,0.8266730368535034,642.0
