,precision,recall,f1-score,support
snoRNA,0.6176470588235294,0.6,0.608695652173913,35.0
rRNA,0.9379310344827586,0.9855072463768116,0.9611307420494699,138.0
snRNA,0.6,0.5454545454545454,0.5714285714285713,22.0
mRNA,0.9725274725274725,0.9516129032258065,0.9619565217391304,186.0
pre_miRNA,0.6470588235294118,0.66,0.6534653465346535,50.0
miRNA,0.5254237288135594,0.5961538461538461,0.5585585585585586,52.0
tRNA,0.9777777777777777,0.9887640449438202,0.9832402234636872,89.0
tmRNA,1.0,0.8714285714285714,0.9312977099236641,70.0
accuracy,0.8707165109034268,0.8707165109034268,0.8707165109034268,0.8707165109034268
macro avg,0.7847957369943137,0.7748651446979251,0.778721665733956,642.0
weighted avg,0.8751393099759377,0.8707165109034268,0.8720455822406901,642.0
