,precision,recall,f1-score,support
snoRNA,0.5384615384615384,0.6,0.5675675675675675,35.0
rRNA,0.9251700680272109,0.9855072463768116,0.9543859649122808,138.0
snRNA,0.4166666666666667,0.45454545454545453,0.43478260869565216,22.0
mRNA,0.9886363636363636,0.9354838709677419,0.9613259668508287,186.0
pre_miRNA,0.59375,0.76,0.6666666666666666,50.0
miRNA,0.5641025641025641,0.4230769230769231,0.48351648351648346,52.0
tRNA,0.946236559139785,0.9887640449438202,0.967032967032967,89.0
tmRNA,1.0,0.8571428571428571,0.923076923076923,70.0
accuracy,0.8551401869158879,0.8551401869158879,0.8551401869158879,0.8551401869158879
macro avg,0.7466279700042661,0.7505650496317011,0.7447943935399212,642.0
weighted avg,0.8610724931989305,0.8551401869158879,0.8552951470495752,642.0
