,precision,recall,f1-score,support
snoRNA,0.5135135135135135,0.5428571428571428,0.5277777777777778,35.0
rRNA,0.9444444444444444,0.9855072463768116,0.9645390070921985,138.0
snRNA,0.5,0.5,0.5,22.0
mRNA,0.9887640449438202,0.946236559139785,0.967032967032967,186.0
pre_miRNA,0.625,0.8,0.7017543859649122,50.0
miRNA,0.5789473684210527,0.4230769230769231,0.4888888888888889,52.0
tRNA,0.9263157894736842,0.9887640449438202,0.9565217391304348,89.0
tmRNA,0.984375,0.9,0.9402985074626866,70.0
accuracy,0.8644859813084113,0.8644859813084113,0.8644859813084113,0.8644859813084113
macro avg,0.7576700200995643,0.7608052395493103,0.7558516591687332,642.0
weighted avg,0.8659190608830366,0.8644859813084113,0.8627850605833988,642.0
