nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,label
AE006468.2/4399812-4399927,0.0,57.5,-0.17174330588692746,80.0,36.0,18.07622748252522,1.0,1.0,1.0,115.0,4.0,1.0,0.7814678058854975,1.0,0.962787475171274,15.052173913043475,19.166666666666668,1.0,1.0,0.05217391304347827,0.7814678058854975,58.0,4.0,1.0,57.5,4.0,4.933333333333334,15.200000000000001,0.20728031922953843,29.0,6.0,6.554387843269576,1.7047619047619047,0.40698412698412695,0.3508771929824561,114.0,131.0,438.0,0.5196595135044041,0.5915651498260194,0.38790203918672567,3.543859649122806,1.0857142857142856,3.0,2.5999999999999996,1.5701754385964912,0.5196595135044041,21.0,6.066666666666666,2.0,15.200000000000001,15.0,45.422222222222224,5.022222222222223,0.07375792202152412,10.0,2.0,2.4174264450617624,3.0646464646464646,0.06093073593073594,0.06198347107438017,113.0,232.0,803.0,0.25068319280056656,0.32985811259635545,0.38480771604938274,1.707964601769911,0.11414141414141414,6.0,4.844444444444444,26.849557522123888,0.25068319280056656,10.0,4.511111111111113,4.0,5.022222222222223,45.0,rRNA
AE006468.2/3566749-3566634,0.0,57.5,-0.24038424806368971,78.0,37.0,15.976545308670458,1.0,1.0,1.0,115.0,4.0,1.0,0.8014130366372689,1.0,0.9518453532254394,14.86086956521739,19.166666666666668,1.0,1.0,0.052173913043478265,0.8014130366372689,58.0,4.0,1.0,57.5,4.0,4.866666666666667,15.2,0.13172624230218466,26.0,6.0,5.79885046079537,1.6952380952380952,0.419047619047619,0.36464088397790057,114.0,137.0,464.0,0.5915375943550051,0.5952542143846493,0.3967335415111722,3.5614035087719293,1.0857142857142856,3.0,2.5999999999999996,1.56140350877193,0.5915375943550051,20.0,6.2,2.0,15.2,15.0,45.91304347826088,4.913043478260871,0.017918806767070125,10.0,2.0,2.412162001161773,3.0405797101449274,0.06031746031746031,0.05976095617529881,113.0,241.0,846.0,0.30730087644660076,0.33208292284278396,0.3843249924516907,1.6371681415929211,0.10917874396135265,5.0,4.717391304347827,27.849557522123884,0.30730087644660076,10.0,4.521739130434781,4.0,4.913043478260871,46.0,rRNA
AE006468.2/294522-294637,0.0,57.5,-0.18016687485766075,78.0,36.0,17.109938632268673,1.0,1.0,1.0,115.0,4.0,1.0,0.8001440688299866,1.0,0.9524809942129748,14.652173913043477,19.166666666666668,1.0,1.0,0.05217391304347826,0.8001440688299866,56.0,4.0,1.0,57.5,4.0,4.533333333333333,15.200000000000001,0.21942343527348673,27.0,6.0,5.844655678480983,1.6476190476190475,0.36571428571428566,0.35294117647058826,114.0,143.0,496.0,0.548388194419456,0.6104320799972975,0.37208821904299216,3.403508771929826,1.0857142857142856,3.0,2.333333333333333,1.5175438596491229,0.548388194419456,21.0,6.333333333333334,2.0,15.200000000000001,15.0,46.8936170212766,4.808510638297871,0.025610663266080278,10.0,2.0,2.293731493610454,3.038852913968548,0.056832298136645976,0.05859375,113.0,246.0,865.0,0.3331811673418735,0.3322330348709276,0.37961363934856845,1.5663716814159296,0.10453283996299723,6.0,4.74468085106383,29.070796460176997,0.3331811673418735,10.0,4.531914893617019,4.0,4.808510638297871,47.0,rRNA
AE006468.2/4100145-4101686,0.0,770.5,-0.015597399799959633,974.0,626.0,129.4942083646987,1.0,1.0,1.0,1541.0,4.0,1.0,0.8401520760556181,1.0,0.9334540600975251,173.81116158338773,256.8333333333333,1.0,1.0,0.0038935756002595697,0.8401520760556181,664.0,4.0,1.0,770.5,4.0,4.124999999999999,192.5,0.3900559423771034,310.0,126.0,49.85854991874513,1.55,0.4357142857142857,0.4230769230769231,1540.0,224.0,896.0,0.5533912068335368,0.6453804347826086,0.29940822859584876,31.23766233766234,12.833333333333334,2.0,2.0,0.12077922077922071,0.5533912068335368,242.0,7.749999999999999,2.0,192.5,16.0,42.046874999999986,48.09375000000001,0.523189456574521,94.0,6.0,17.248839408421077,2.3348214285714284,0.11398809523809524,0.10293200249532128,1539.0,1493.0,10337.0,0.25033439691436565,0.42857348796716793,0.18764434746779377,8.069525666016899,0.7633928571428571,3.0,3.0,3.058479532163744,0.25033439691436565,86.0,8.562500000000002,3.0,48.09375000000001,64.0,rRNA
AE006468.2/289180-290721,0.0,770.5,-0.013180644365810608,976.0,624.0,130.2718311838749,1.0,1.0,1.0,1541.0,4.0,1.0,0.8393385231211314,1.0,0.9333706542653326,173.62167423750844,256.8333333333333,1.0,1.0,0.003893575600259568,0.8393385231211314,662.0,4.0,1.0,770.5,4.0,4.125,192.50000000000003,0.3876764466456451,314.0,126.0,50.22822911471198,1.55,0.4357142857142857,0.4230769230769231,1540.0,224.0,896.0,0.5451628535173155,0.6453804347826086,0.2992450709536784,31.11688311688313,12.833333333333334,2.0,2.0,0.12077922077922071,0.5451628535173155,240.0,7.749999999999999,2.0,192.50000000000003,16.0,42.109375,48.09374999999999,0.5348672905113214,94.0,6.0,17.285035751698636,2.3368055555555554,0.11063988095238092,0.09805153991200503,1539.0,1487.0,10289.0,0.24502173802016255,0.428231561822951,0.18670250317414078,8.053931124106567,0.7633928571428571,3.0,3.0,3.0610786224821327,0.24502173802016255,86.0,8.531249999999998,3.0,48.09374999999999,64.0,rRNA
AE006468.2/3572014-3570473,0.0,770.5,-0.012939276831774241,974.0,628.0,128.61862229086424,1.0,1.0,1.0,1541.0,4.0,1.0,0.8404942066637795,1.0,0.9330845746197981,173.60090850097353,256.8333333333333,1.0,1.0,0.0038935756002595723,0.8404942066637795,662.0,4.0,1.0,770.5,4.0,4.125,192.5,0.3870705159962263,312.0,127.0,49.75565294516795,1.55,0.4357142857142857,0.4230769230769231,1540.0,224.0,896.0,0.5487800725842742,0.6453804347826086,0.2992185020759012,31.151948051948068,12.833333333333334,2.0,2.0,0.12077922077922076,0.5487800725842742,242.0,7.749999999999999,2.0,192.5,16.0,42.109374999999986,48.09375000000001,0.5239531728590697,94.0,6.0,17.256084751110258,2.3368055555555554,0.11063988095238092,0.09805153991200503,1539.0,1487.0,10289.0,0.24632392822304439,0.428231561822951,0.18716436160257904,8.053931124106564,0.7633928571428571,3.0,3.0,3.0610786224821314,0.24632392822304439,86.0,8.531249999999998,3.0,48.09375000000001,64.0,rRNA
AE006468.2/2801663-2800122,0.0,770.5,-0.011979636979973165,974.0,628.0,128.61862229086424,1.0,1.0,1.0,1541.0,4.0,1.0,0.840233176359977,1.0,0.9333706542653326,173.47761194029843,256.8333333333333,1.0,1.0,0.003893575600259569,0.840233176359977,662.0,4.0,1.0,770.5,4.0,4.124999999999999,192.5,0.3846109915713875,312.0,127.0,49.81089238309227,1.55,0.4357142857142857,0.4230769230769231,1540.0,224.0,896.0,0.549355862049193,0.6453804347826086,0.2991204719312662,31.07272727272729,12.833333333333334,2.0,2.0,0.12077922077922083,0.549355862049193,242.0,7.749999999999999,2.0,192.5,16.0,42.10937499999998,48.09375,0.5216195401377535,94.0,6.0,17.259706281901206,2.3368055555555554,0.11063988095238092,0.09805153991200503,1539.0,1487.0,10289.0,0.24711629801966142,0.428231561822951,0.18722382707374052,8.043534762833021,0.7633928571428571,3.0,3.0,3.061078622482133,0.24711629801966142,86.0,8.531249999999998,3.0,48.09375,64.0,rRNA
AE006468.2/4394688-4396230,0.0,771.0,-0.012967878589921862,974.0,626.0,129.23234889144436,1.0,1.0,1.0,1542.0,4.0,1.0,0.8409668491634275,1.0,0.9331484194004092,173.73929961089468,257.0,1.0,1.0,0.0038910505836575915,0.8409668491634275,662.0,4.0,1.0,771.0,4.0,4.124999999999999,192.625,0.3896135776258398,312.0,126.0,49.81199027342714,1.55,0.4357142857142857,0.4230769230769231,1541.0,224.0,896.0,0.5496127077759767,0.6453804347826086,0.29853031890852677,31.085658663205685,12.841666666666667,2.0,2.0,0.12070084360804668,0.5496127077759767,240.0,7.749999999999999,2.0,192.625,16.0,42.10937499999999,48.125000000000014,0.5320211677484536,94.0,6.0,17.16509903845591,2.3368055555555554,0.11063988095238092,0.09805153991200503,1540.0,1487.0,10289.0,0.2464837205414553,0.428231561822951,0.18672216983219325,8.038961038961052,0.7638888888888888,3.0,3.0,3.0590909090909064,0.2464837205414553,86.0,8.531249999999998,3.0,48.125000000000014,64.0,rRNA
AE006468.2/4100150-4101684,0.0,767.0,-0.01779051826092722,973.0,619.0,130.97137091746424,1.0,1.0,1.0,1534.0,4.0,1.0,0.8385110358441653,1.0,0.9335617752524256,173.51499348109502,255.66666666666666,1.0,1.0,0.0039113428943937465,0.8385110358441653,663.0,4.0,1.0,767.0,4.0,4.124999999999999,191.625,0.39232607098379835,310.0,122.0,50.14712728561827,1.55,0.4357142857142857,0.4230769230769231,1533.0,224.0,896.0,0.5506571397286545,0.6453804347826086,0.29957139664217647,31.17482061317674,12.775,2.0,2.0,0.12133072407045,0.5506571397286545,240.0,7.749999999999999,2.0,191.625,16.0,42.04687500000001,47.87500000000001,0.5279158940057288,94.0,6.0,17.241392780167153,2.3348214285714284,0.11398809523809524,0.10293200249532128,1532.0,1493.0,10337.0,0.2476583674460223,0.42857348796716793,0.18778919833688437,8.043080939947789,0.7599206349206349,3.0,3.0,3.072454308093999,0.2476583674460223,86.0,8.562500000000002,3.0,47.87500000000001,64.0,rRNA
AE006468.2/289185-290719,0.0,767.0,-0.015380119293585954,975.0,617.0,131.80857331751983,1.0,1.0,1.0,1534.0,4.0,1.0,0.8376949553044897,1.0,0.9334891568524897,173.3311603650589,255.66666666666666,1.0,1.0,0.00391134289439374,0.8376949553044897,661.0,4.0,1.0,767.0,4.0,4.125,191.625,0.3898076696722355,314.0,122.0,50.53696048438212,1.55,0.4357142857142857,0.4230769230769231,1533.0,224.0,896.0,0.5425211191056464,0.6453804347826086,0.29941329143749357,31.057403783431194,12.775,2.0,2.0,0.12133072407045015,0.5425211191056464,238.0,7.749999999999999,2.0,191.625,16.0,42.10937500000001,47.87500000000001,0.5388930756077638,94.0,6.0,17.29026098704123,2.3368055555555554,0.11063988095238092,0.09805153991200503,1532.0,1487.0,10289.0,0.2425977703489368,0.428231561822951,0.1867873840637492,8.026109660574424,0.7599206349206349,3.0,3.0,3.0750652741514406,0.2425977703489368,86.0,8.531249999999998,3.0,47.87500000000001,64.0,rRNA
