nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
URS000005D43A/Bacillus,1,2,2,3,1,0,2,1,5,0,0,1,0,3,1,2,0,1,1,2,2,0,1,0,0,0,0,0,1,1,3,2,1,0,0,1,2,0,0,0,1,2,0,1,1,0,2,0,2,1,0,8,3,0,0,1,1,1,0,0,3,2,0,5,snoRNA
URS00000D3F17/Streptococcus,6,1,1,3,2,0,0,1,5,1,2,1,2,2,3,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,3,5,0,1,2,0,0,0,0,0,0,0,0,1,0,1,3,8,0,1,5,0,0,0,4,2,0,0,1,3,3,2,6,snoRNA
URS00001BC76C/Escherichia,2,1,2,1,0,1,1,5,1,2,0,3,2,2,1,2,1,1,0,3,2,1,2,2,1,1,3,1,1,0,1,5,3,2,0,0,1,1,2,0,0,1,0,1,1,2,2,4,2,1,3,4,0,3,1,3,3,2,0,1,6,5,2,3,snoRNA
URS000023547A/Escherichia,2,0,1,2,1,0,0,1,2,1,0,0,3,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,9,0,0,1,2,0,1,0,2,3,1,2,9,snoRNA
URS0000005B38/Streptococcus,9,3,1,2,1,1,0,4,1,2,0,1,5,1,2,3,2,0,1,2,1,0,0,0,0,0,2,1,0,0,1,2,1,1,0,1,1,0,0,1,0,0,0,2,4,1,2,2,7,1,3,3,2,0,0,1,1,0,2,4,1,3,2,3,snoRNA
URS000006718D/Leptospira,9,0,2,5,0,1,0,1,3,0,2,2,4,2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,7,1,1,0,1,0,1,0,0,7,1,1,6,snoRNA
URS00000854BE/Escherichia,4,3,5,5,3,2,4,1,1,7,3,3,6,1,5,4,1,4,2,2,4,2,2,6,2,4,7,3,2,1,1,3,4,3,2,5,1,3,3,0,1,2,0,5,13,2,2,3,5,3,2,7,3,2,5,5,0,3,3,5,7,5,3,8,snoRNA
URS0000124DD5/Paenibacillus,1,1,2,0,0,0,1,1,0,0,0,2,0,2,1,2,1,2,0,0,1,0,4,0,2,2,0,1,2,0,1,1,2,1,1,2,2,0,2,1,1,2,2,2,1,0,2,1,1,0,0,0,0,1,3,0,1,4,2,1,0,1,0,0,snoRNA
URS0000127397/Lactobacillus,5,1,1,5,1,0,0,2,3,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,2,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,3,0,1,0,2,2,2,1,2,0,0,2,0,1,1,1,0,2,4,3,snoRNA
URS00001E230C/Staphylococcus,4,1,3,3,0,0,1,2,1,1,0,1,0,2,2,3,0,1,1,1,2,0,0,0,2,0,0,0,1,2,0,1,2,2,0,0,2,1,0,0,0,0,1,0,1,1,0,0,3,0,0,1,1,0,0,3,1,1,0,2,1,0,2,3,snoRNA
URS00001E3B30/Parvimonas,7,0,1,7,0,0,3,1,2,0,0,2,3,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,3,5,0,0,6,0,0,0,2,2,1,0,1,5,3,2,12,snoRNA
URS0000268466/Dehalococcoides,3,0,0,1,1,2,1,0,2,1,0,0,0,0,1,4,0,0,0,0,1,1,2,0,0,2,2,2,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,3,3,1,1,2,1,3,0,1,0,0,0,0,3,0,1,3,snoRNA
URS00002AF467/Eubacterium,6,1,1,4,2,0,0,1,4,2,1,2,5,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,3,0,2,2,2,0,0,0,0,0,1,0,2,0,0,2,3,0,5,1,1,0,0,0,1,2,0,0,1,0,1,2,snoRNA
URS00002D157B/Leptospira,14,0,4,5,0,1,1,1,3,1,0,0,3,2,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,0,5,1,0,1,0,1,0,0,2,8,1,1,5,snoRNA
URS00002E1883/Peptoanaerobacter,4,1,0,7,1,0,2,2,1,0,0,2,3,2,1,7,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,1,1,7,1,0,0,2,1,0,0,0,8,4,1,10,snoRNA
URS00002F2D9A/Acinetobacter,2,0,3,7,2,0,0,1,3,1,0,0,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,6,1,0,0,0,0,2,0,0,3,1,1,4,snoRNA
URS00002FAE9F/Prevotella,3,0,1,3,0,0,0,1,3,1,2,2,4,1,0,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,0,2,0,0,0,0,1,1,2,1,1,0,4,5,1,0,0,1,3,0,1,2,4,1,3,3,snoRNA
URS0000300953/Aerococcus,7,2,1,6,0,0,1,2,6,0,0,1,1,2,2,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,3,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,4,1,2,6,1,0,1,1,2,1,0,0,9,1,2,6,snoRNA
URS000034047B/Staphylococcus,7,2,2,6,2,1,0,1,1,2,0,0,4,1,2,3,1,0,0,1,0,0,0,1,0,2,2,2,4,0,0,0,2,1,1,0,1,0,0,1,1,0,0,0,1,0,2,1,6,1,2,2,2,1,0,3,1,0,1,0,1,2,0,3,snoRNA
URS000034BF4D/Fusobacterium,14,3,3,2,2,0,0,4,1,2,1,0,4,0,3,4,2,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,4,0,1,2,0,0,0,0,2,0,2,0,2,0,0,0,7,0,1,4,0,0,0,1,3,0,1,0,3,1,1,5,snoRNA
URS000038DB28/Bacteriovorax,4,2,2,1,3,1,0,0,1,1,2,2,2,4,3,4,2,0,1,0,0,1,2,2,0,1,0,0,1,0,1,2,1,3,1,0,2,0,0,2,2,0,0,1,0,0,1,1,8,0,1,6,0,1,0,0,2,0,2,1,3,0,0,3,snoRNA
URS00003A415F/Prevotella,3,2,4,2,0,1,0,2,3,1,1,1,2,1,2,2,4,0,1,4,1,1,0,0,0,0,0,0,2,1,0,3,2,1,0,1,3,1,0,1,0,2,1,0,0,0,2,2,1,1,1,2,3,1,0,2,1,2,1,3,3,1,3,6,snoRNA
URS00003A53FD/Dehalococcoides,6,0,2,2,1,0,3,0,1,3,2,1,2,1,1,0,1,0,1,0,1,0,0,4,1,2,1,1,1,1,0,2,1,0,1,2,1,2,1,2,1,2,1,0,1,2,2,0,3,2,1,1,0,1,0,1,0,1,2,1,2,0,2,5,snoRNA
URS00003A8C6B/Escherichia,1,0,0,1,2,3,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,1,2,2,3,1,0,1,1,2,1,0,1,0,1,0,0,4,2,0,0,0,0,0,5,1,0,2,3,1,1,1,1,0,0,2,0,2,1,0,0,2,snoRNA
URS00003E50B7/Peptoanaerobacter,7,1,2,4,2,1,1,0,3,1,2,0,1,2,1,2,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,1,2,0,0,0,2,1,0,0,1,0,2,1,2,0,0,3,2,0,0,0,1,0,3,1,1,0,2,1,snoRNA
URS000042F7F8/Olsenella,1,3,1,0,0,2,1,1,4,0,1,0,0,1,2,0,1,3,0,1,4,2,1,0,0,1,2,1,0,0,3,1,0,0,1,2,2,1,1,1,2,0,0,1,0,2,1,3,0,3,0,1,1,0,2,1,3,0,1,2,0,2,1,3,snoRNA
URS000043DF2B/Bacillus,4,0,0,3,3,0,0,1,2,0,1,0,3,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,3,3,1,6,1,0,0,0,3,0,0,2,5,0,1,2,snoRNA
URS0000442AE5/Escherichia,5,2,0,2,3,4,0,3,1,1,1,0,0,1,1,0,0,1,2,1,1,3,1,2,1,0,2,2,5,1,1,2,3,2,0,0,0,0,0,2,0,1,0,1,1,0,2,1,2,2,1,2,1,2,0,2,0,3,0,0,2,1,1,1,snoRNA
