nameseq,k1,k2,k3,k4,k5,label
URS000005D43A/Bacillus,1.9205402473045916,3.605371091874552,4.913687879635444,5.691920793857365,6.043851526544552,snoRNA
URS00000D3F17/Streptococcus,1.7672332924074055,3.390245143246773,4.708041140077505,5.667105569975808,6.139555354436864,snoRNA
URS00001BC76C/Escherichia,1.9608945339116552,3.884406960695891,5.582955958244132,6.420453929374201,6.708632440797396,snoRNA
URS000023547A/Escherichia,1.6385911316933823,3.2036267670198746,4.526484837527572,5.401540463507995,5.799589796579276,snoRNA
URS0000005B38/Streptococcus,1.8741597960340555,3.6427282109870216,5.108724362692484,6.022873109421337,6.352490161774767,snoRNA
URS000006718D/Leptospira,1.622791808574316,3.1024903975096394,4.360960520355223,5.2621585461154154,5.735459024194831,snoRNA
URS00000854BE/Escherichia,1.9863534525017696,3.8959322849243327,5.651795923649336,6.872102856363494,7.482566606857234,snoRNA
URS0000124DD5/Paenibacillus,1.9810992525987134,3.833921546711628,5.2195282822995495,5.786165496395626,5.92318199814634,snoRNA
URS0000127397/Lactobacillus,1.871855887535537,3.660458266730404,4.99312021049097,5.622367813028458,5.831954882778696,snoRNA
URS00001E230C/Staphylococcus,1.9052862412093714,3.758050457853542,5.243457190211677,5.78125,5.913787860007857,snoRNA
URS00001E3B30/Parvimonas,1.6601453843144418,3.203388007030864,4.538128636171785,5.471342058917916,6.026677220090468,snoRNA
URS0000268466/Dehalococcoides,1.981594405843275,3.773347616762115,5.034526148956974,5.598529755489271,5.806890595608517,snoRNA
URS00002AF467/Eubacterium,1.8166970975492867,3.5648554648579878,5.005004126707213,5.74474870398125,6.043568731230685,snoRNA
URS00002D157B/Leptospira,1.5954230521405997,3.0619353265916365,4.3390660208268494,5.291085357730928,5.84002290174974,snoRNA
URS00002E1883/Peptoanaerobacter,1.577297554116249,3.086843174941934,4.414720982078655,5.492767774164559,6.118522527728212,snoRNA
URS00002F2D9A/Acinetobacter,1.6840877779260235,3.1854520172712486,4.424100108840684,5.259932944952134,5.683906274566919,snoRNA
URS00002FAE9F/Prevotella,1.7975210074823047,3.4552806481568243,4.814418914044918,5.693048360160978,6.031036112553428,snoRNA
URS0000300953/Aerococcus,1.7362706604595661,3.3847843710980783,4.792335431228991,5.6959645051068275,6.169828843471627,snoRNA
URS000034047B/Staphylococcus,1.8719294949477454,3.6528140345583444,5.1294616712027485,5.969582006060582,6.302750274720426,snoRNA
URS000034BF4D/Fusobacterium,1.7113992407194027,3.213400768018864,4.46138946253579,5.367362186031752,5.894888733486422,snoRNA
URS000038DB28/Bacteriovorax,1.912409347373574,3.794123318020532,5.203710102000734,5.988808150971403,6.309985684934657,snoRNA
URS00003A415F/Prevotella,1.9309757539150394,3.769210322880898,5.268847354254078,6.077697282049914,6.323674997317781,snoRNA
URS00003A53FD/Dehalococcoides,1.9886421772906062,3.8647563078337166,5.348381893353631,6.081490901508374,6.250785083859995,snoRNA
URS00003A8C6B/Escherichia,1.9865626553680784,3.840195641289579,5.2106499704282285,5.6453549137686165,5.754532719265502,snoRNA
URS00003E50B7/Peptoanaerobacter,1.8406893766710342,3.565933434695791,4.966097823486261,5.7578544455164,5.992582427792658,snoRNA
URS000042F7F8/Olsenella,1.9985517609237438,3.7432806207359115,5.157218921475415,5.755355023771525,5.966210122385712,snoRNA
URS000043DF2B/Bacillus,1.748720376510255,3.348834873959203,4.747471437150874,5.707880235233889,5.89287896784331,snoRNA
URS0000442AE5/Escherichia,1.9571897452383569,3.8418346972210795,5.262628696712319,6.019499973463473,6.30877151681321,snoRNA
URS0000444F4B/Staphylococcus,1.8008941611902238,3.503133994168783,4.828305983368262,5.723067743169523,6.06864978374671,snoRNA
URS000045F19A/Pseudomonas,1.9919306429996735,3.7381874400108606,4.857676351631606,5.34964891257875,5.491853096329673,snoRNA
URS000046068B/Peptoniphilus,1.8080495254894458,3.491902625481071,4.880192753848263,5.601881223476022,5.8571339665771704,snoRNA
URS0000467D3B/Clostridium,1.9928242169760941,3.813158318134881,5.246153196505381,5.9706464766882466,6.114369445886762,snoRNA
URS00004A6F12/Acinetobacter,1.9292980613860662,3.728462299346739,5.248841720211617,6.0710981419946055,6.297079327540665,snoRNA
URS00004B8A9C/Borreliella,1.7620087666374453,3.489527641654355,4.892295426758517,5.848107644730067,6.24108457078585,snoRNA
URS00004BC090/Staphylococcus,1.85689973074294,3.586337475742928,5.014438730983428,5.720772463993188,5.969815782426815,snoRNA
URS00004E002C/Escherichia,1.9874128206780788,3.941331597918613,5.74734347620194,6.913141748885316,7.427578959025128,snoRNA
URS00004ED4E8/Ruminococcus,1.8739052877610947,3.609116531628481,4.930680521262862,5.713730209535319,6.031036112553428,snoRNA
URS00004FB377/Escherichia,1.9919576054641728,3.970795245761831,5.789531901268951,6.802289176206925,7.100480556997886,snoRNA
URS0000528960/Escherichia,1.9907855314676586,3.850014734393367,5.334183719779188,5.8687867231568465,6.105915039375073,snoRNA
URS000052A82F/Lachnoanaerobaculum,1.91328066224046,3.739752804563776,5.055589938429661,5.731712862575268,6.028639311838581,snoRNA
URS000053B4A6/Staphylococcus,1.9117103768563672,3.5557259462391753,4.96399877426736,5.644454882778696,5.8820418282618245,snoRNA
URS0000572081/Fusobacterium,1.822565640794441,3.5613048537774805,5.059854009973763,5.798761556280282,6.195704702695544,snoRNA
URS00005764CB/Listeria,1.939649704236655,3.8124180891813007,5.226709858847347,5.892138120088439,6.171928094887357,snoRNA
URS0000579220/Pseudomonas,1.9828221949079872,3.7957577917978553,5.097989127792338,5.696613257589657,5.9534850284493706,snoRNA
URS0000579A2E/Staphylococcus,1.5925644059479187,3.105130281020646,4.207203556965469,5.0666770737072335,5.579984928379788,snoRNA
URS0000581B0C/Streptococcus,1.9067600917647214,3.6410729145436576,5.06602441389348,5.7113293282274835,5.889680181354615,snoRNA
URS00005879DF/Bacillus,1.8854531028064816,3.72221889508057,5.2134236515967665,6.048767138831573,6.277613436819121,snoRNA
URS0000589823/Staphylococcus,1.9408183016383826,3.7217968426717367,4.994633323674451,5.683906274566919,5.78125,snoRNA
URS0000595118/Ruminococcus,1.941882079196319,3.678356053335849,5.1333909420659305,5.852168723603285,6.03623844418911,snoRNA
URS00005C8E9E/Escherichia,1.9836464337108168,3.927923362782722,5.655584336466401,6.811537472792192,7.1672322138597755,snoRNA
URS00005E01BA/Ureaplasma,1.6328254298601683,3.1752071457582507,4.4478705079527225,5.40655288845623,6.119522262948255,snoRNA
URS00005E8AE1/Streptococcus,1.7690313353910336,3.490478965804117,4.829650571727877,5.686552988074662,6.149076931320864,snoRNA
URS00005FD037/Streptococcus,1.8821448014801845,3.618180548002739,4.879107942292995,5.703058256517804,6.153224108250238,snoRNA
URS0000601B65/Escherichia,1.7450791955603107,3.3586447286901895,4.679403676007349,5.528187071417993,5.926037429020077,snoRNA
URS000060693A/Leptospira,1.5865920911193288,3.0716228080702996,4.376641406496281,5.4346384973184465,6.030526190633715,snoRNA
URS0000612931/Clostridium,1.7297658311449906,3.2452286525184606,4.516819805322404,5.442701142367962,6.006882644835603,snoRNA
URS0000614EC1/Capnocytophaga,1.5226747432920749,2.932731093050177,4.025398438601346,4.850940967582626,5.467007608858016,snoRNA
URS000064439A/Escherichia,1.9736411911312923,3.8969877431484123,5.663043687289752,6.7534176310248695,7.1109423848507625,snoRNA
URS0000668254/Escherichia,1.9319597933169352,3.756031014430837,5.0773926255596855,5.616601684782743,5.727626856270001,snoRNA
URS0000691A78/Escherichia,1.9754004501220428,3.9216522380229577,5.599721978472477,6.659748016048278,7.10528210165004,snoRNA
URS0000691DA3/Escherichia,1.907524430601516,3.7573024403128783,5.363151149671583,6.330634209041433,6.87811377117915,snoRNA
URS0000696027/Escherichia,1.9856184197904339,3.929870092193134,5.788438807402611,7.257818246401487,8.122228055879367,snoRNA
URS00006B944E/Escherichia,1.9174875041777115,3.7746951602587453,5.397261669092448,6.433566918728975,6.890255921368264,snoRNA
URS00006E54FA/Escherichia,1.9410257065273062,3.631919106698386,5.136907729307198,6.121650053558561,6.561864565285162,snoRNA
URS000070D6E7/Escherichia,1.9934080619425083,3.9576396663011497,5.780290117990135,7.039386924826833,7.425569344161749,snoRNA
URS0000735D07/Escherichia,1.9899047473067708,3.7781399747586404,5.132300944395516,5.8040479602235475,6.069894593096966,snoRNA
URS00009D2A60/Pseudomonas,1.972156696660691,3.8814834162962653,5.533906502377122,6.535022765572737,6.944802193406622,snoRNA
URS00009E59BB/Pseudomonas,1.9545572977627892,3.8965293950746047,5.6344845961392895,6.9548199861683795,7.698764734653446,snoRNA
URS00009EA88F/Pseudomonas,1.994854600700511,3.958802110046323,5.8391209347349236,7.464458380540622,8.349534296095152,snoRNA
URS0000A394B1/Pseudomonas,1.961615359210585,3.8105359620750487,5.407491658151524,6.317587600691518,6.645294351423426,snoRNA
URS0000A55751/Pseudomonas,1.8674173001441883,3.592256546931426,5.130607368471936,6.099180816551569,6.61918893660241,snoRNA
URS0000A643F4/Pseudomonas,1.9651785784335916,3.78234925860574,5.2736843762620245,5.818623527894438,5.9864258740878284,snoRNA
URS0000A72345/Pseudomonas,1.9884973862599562,3.922509149165246,5.509943771534706,6.493156430239949,6.830941615798622,snoRNA
URS0000AFCC71/Chryseobacterium,1.9253845973796335,3.71704910492636,4.988999456313996,5.737502287420054,6.090032776601486,snoRNA
URS00006D7E9B/Escherichia,1.990197023807429,3.853840977915181,5.349708269937135,5.942021690438196,6.1013452575208476,snoRNA
URS0000B0ED1F/Burkholderia,1.905776006698581,3.6956020903470526,5.113276172128235,6.111290930644429,6.613954463173135,snoRNA
URS0000B151AA/Curtobacterium,1.9484581616233667,3.7233323666317553,4.7222608627677705,5.115847010357804,5.314075318551897,snoRNA
URS000072FDDE/Fusobacterium,1.6899981614392614,3.3232001032000267,4.659236143033227,5.636911765052345,5.92318199814634,snoRNA
URS0000735E97/Fusobacterium,1.824357173289507,3.424217337222306,4.8362569927839845,5.747736272238545,6.21305843837746,snoRNA
URS0000743B49/Fusobacterium,1.655017333142078,3.142482360465954,4.380770011128116,5.222367921607312,5.741363816328157,snoRNA
URS000074AAB1/Eubacterium,1.813764640384099,3.5626639522236268,4.898727440497993,5.617571990238689,5.975480556997871,snoRNA
URS0000753C0D/Prevotella,1.783117823715688,3.417189523108058,4.731290149612003,5.552436545003575,5.9094404528011575,snoRNA
URS00007553FE/Streptococcus,1.9104425641807206,3.747615835944393,5.035946653015178,5.680757755722096,5.899290889951535,snoRNA
URS0000A10225/Pseudomonas,1.9832174286280424,3.934463366947328,5.583256767796758,6.529525737003938,6.924601848575962,snoRNA
URS0000B9EEC3/Escherichia,1.9957893632719061,3.959799729517155,5.786159716464694,6.96531003077682,7.335981169856652,snoRNA
URS0000699735/Escherichia,1.94485502785396,3.609605874320923,5.02734103299297,5.94646873924637,6.402569011092754,snoRNA
URS000016FBD9/Escherichia,1.9892950643729144,3.918119374544867,5.666835518597722,6.653061732089327,7.0260761750938086,snoRNA
URS00007ED7A2/Escherichia,1.9409025006994247,3.7467727283298187,4.799979385049831,5.386838817258861,5.639017035992345,snoRNA
URS0000265A50/Escherichia,1.9795808629763063,3.8853863201954786,5.570089232232948,6.51403822476869,6.937448141354674,snoRNA
URS000007DB33/Escherichia,1.9903337730880488,3.938002777642205,5.740467481208565,6.878976721839649,7.424936529560571,snoRNA
URS000015AD28/Escherichia,1.970507791155152,3.88098859370542,4.981200234441705,5.599541531706475,5.717850465126429,snoRNA
URS0000694D90/Escherichia,1.9945504206381215,3.8010805735262454,5.175123135113462,5.7264640038583146,5.923181998146339,snoRNA
URS0000008ED3/Rhizobium,1.912935039619369,3.668623182150081,4.897055208874203,5.283208266525225,5.480083695187445,snoRNA
URS0000031E16/Thermodesulfovibrio,1.7983636207583857,3.366393594967441,4.682294840079026,5.516955853691478,5.88166267502338,snoRNA
URS00001AA27A/Escherichia,1.9867452816833604,3.776935881892846,5.156668342791646,5.835355023771528,6.1013452575208476,snoRNA
