nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
AE006468.2/4399812-4399927,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,rRNA
AE006468.2/3566749-3566634,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,rRNA
AE006468.2/294522-294637,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,rRNA
AE006468.2/4100145-4101686,255,6,60.72758845862398,60.6,1.0021054201093065,58.333333333333336,22.22222222222222,8.519690270127658,49.239518370272215,0.17302545906442743,rRNA
AE006468.2/289180-290721,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,rRNA
AE006468.2/3572014-3570473,255,6,60.72758845862398,60.6,1.0021054201093065,58.333333333333336,22.22222222222222,8.53498335200157,49.46258234333619,0.17255434204298958,rRNA
AE006468.2/2801663-2800122,255,6,60.72758845862398,60.6,1.0021054201093065,58.333333333333336,22.22222222222222,8.565238955678597,49.5163457841964,0.17297800998902207,rRNA
AE006468.2/4394688-4396230,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,rRNA
AE006468.2/4100150-4101684,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.519690270127658,49.23951837027222,0.1730254590644274,rRNA
AE006468.2/289185-290719,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,rRNA
AE006468.2/2801658-2800124,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.565238955678595,49.51634578419641,0.17297800998902202,rRNA
AE006468.2/3572009-3570475,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.534983352001571,49.462582343336194,0.17255434204298958,rRNA
AE006468.2/4394693-4396228,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,rRNA
AE006468.2/2801658-2800127,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.565238955678595,49.51634578419641,0.17297800998902202,rRNA
AE006468.2/3572009-3570478,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.534983352001571,49.462582343336194,0.17255434204298958,rRNA
AE006468.2/4100150-4101681,255,6,60.727588458623984,60.6,1.0021054201093067,58.333333333333336,22.22222222222222,8.519690270127658,49.23951837027222,0.1730254590644274,rRNA
AE006468.2/289185-290716,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,rRNA
AE006468.2/4394693-4396225,255,6,61.02622387138172,60.0,1.0171037311896953,58.333333333333336,22.22222222222222,8.51998420824581,49.60147123222508,0.17176878017099115,rRNA
AE006468.2/2799768-2796761,129,6,36.18986221727261,47.41463414634146,0.7632635549939183,61.904761904761905,16.666666666666664,10.006066925760523,47.917587793388535,0.20881825205610868,rRNA
AE006468.2/3570080-3567089,123,6,34.878147988398005,46.23076923076923,0.7544358133929685,61.904761904761905,16.666666666666664,9.819476841405459,47.75121341946308,0.20563826839640278,rRNA
AE006468.2/4353199-4356190,123,6,34.878147988398005,46.23076923076923,0.7544358133929685,61.904761904761905,16.666666666666664,9.811525351495556,47.700252234898656,0.20569126769349044,rRNA
AE006468.2/4198128-4201119,123,6,34.72052408733786,44.84615384615385,0.7742140877107927,61.904761904761905,16.666666666666664,9.779158025537129,47.652175311821736,0.205219551081251,rRNA
AE006468.2/4396623-4399614,123,6,34.878147988398005,46.23076923076923,0.7544358133929685,61.904761904761905,16.666666666666664,9.819476841405459,47.75121341946308,0.20563826839640278,rRNA
AE006468.2/4102040-4105031,123,6,34.72052408733786,44.84615384615385,0.7742140877107927,61.904761904761905,16.666666666666664,9.798040187785041,47.766447670808446,0.20512390319058468,rRNA
AE006468.2/291234-294324,123,6,35.291013322116086,46.92307692307692,0.752103562602474,61.904761904761905,16.666666666666664,9.84194640819616,47.78408652925926,0.20596703051275692,rRNA
AE006468.2/4198129-4201120,123,6,34.72052408733786,44.84615384615385,0.7742140877107927,61.904761904761905,16.666666666666664,9.779158025537129,47.652175311821736,0.205219551081251,rRNA
AE006468.2/4353200-4356191,123,6,34.878147988398005,46.23076923076923,0.7544358133929685,61.904761904761905,16.666666666666664,9.811525351495558,47.700252234898656,0.2056912676934905,rRNA
AE006468.2/3570079-3567088,123,6,34.878147988398005,46.23076923076923,0.7544358133929685,61.904761904761905,16.666666666666664,9.819476841405459,47.75121341946308,0.20563826839640278,rRNA
AE006468.2/4396624-4399615,123,6,34.878147988398005,46.23076923076923,0.7544358133929685,61.904761904761905,16.666666666666664,9.819476841405459,47.75121341946308,0.20563826839640278,rRNA
AE006468.2/2799767-2796760,129,6,36.18986221727261,47.41463414634146,0.7632635549939183,61.904761904761905,16.666666666666664,10.006066925760523,47.91758779338853,0.2088182520561087,rRNA
AE006468.2/4102041-4105032,123,6,34.72052408733786,44.84615384615385,0.7742140877107927,61.904761904761905,16.666666666666664,9.798040187785041,47.766447670808446,0.20512390319058468,rRNA
AE006468.2/291235-294325,123,6,35.29101332211609,46.92307692307692,0.7521035626024741,61.904761904761905,16.666666666666664,9.841946408196158,47.78408652925926,0.2059670305127569,rRNA
AE006468.2/2799608-2796773,129,6,37.62004889536562,47.5945945945946,0.7904269217084201,61.904761904761905,16.666666666666664,10.37808024681567,47.83984124417805,0.21693383541649294,rRNA
AE006468.2/3569920-3567099,123,6,36.3007842721822,46.285714285714285,0.7842762034113439,61.904761904761905,16.666666666666664,10.166340700133999,47.76132725030921,0.21285716468585328,rRNA
AE006468.2/4353359-4356180,123,6,36.3007842721822,46.285714285714285,0.7842762034113439,61.904761904761905,16.666666666666664,10.190479767863096,47.797957286939244,0.2131990642756534,rRNA
AE006468.2/4396783-4399604,123,6,36.3007842721822,46.285714285714285,0.7842762034113439,61.904761904761905,16.666666666666664,10.166340700133999,47.76132725030921,0.21285716468585328,rRNA
AE006468.2/4198288-4201109,123,6,36.130986192813864,44.74285714285714,0.8075252341944351,61.904761904761905,16.666666666666664,10.156253520256653,47.74438585836782,0.21272141923418705,rRNA
AE006468.2/4102200-4105021,123,6,36.130986192813864,44.74285714285714,0.8075252341944351,61.904761904761905,16.666666666666664,10.143249743984004,47.778302558951175,0.21229824419711799,rRNA
AE006468.2/291394-294314,123,6,36.74074644015268,47.05714285714286,0.780768746451332,61.904761904761905,16.666666666666664,10.190479767863096,47.797957286939244,0.2131990642756534,rRNA
NZ_CP029463.1/451506-451397,0,0,0,0,0,0,0,0,0,0,rRNA
NZ_CP029463.1/2898154-2899670,195,6,45.95038084717035,51.75,0.8879300646796203,58.333333333333336,25.0,8.350025160821172,47.35884964809383,0.17631393547071209,rRNA
NZ_CP029463.1/456422-454907,195,6,45.49656580446484,52.25,0.8707476708988486,58.333333333333336,25.0,8.190878477233964,46.89936760966443,0.17464795144798692,rRNA
NZ_CP029463.1/940436-938922,195,6,44.52808102759426,53.5,0.8323005799550329,60.49382716049383,25.0,8.657066002929245,46.65036381659933,0.18557338667204243,rRNA
NZ_CP029463.1/456417-454909,195,6,46.34603145232569,52.95652173913044,0.875171365684311,58.333333333333336,25.0,8.366763954012624,46.88533045259669,0.17845163664724134,rRNA
NZ_CP029463.1/2898159-2899668,195,6,46.818638138316814,52.43478260869565,0.8928927671486624,58.333333333333336,25.0,8.529566495452098,47.36478997095782,0.18008243044426217,rRNA
NZ_CP029463.1/940431-938924,195,6,45.33279587508972,54.26086956521739,0.8354601803902754,60.49382716049383,25.0,8.842421865550193,46.62550040765922,0.18964776331060332,rRNA
NZ_CP029463.1/2898159-2899665,195,6,46.818638138316814,52.43478260869565,0.8928927671486624,58.333333333333336,25.0,8.529566495452098,47.36478997095782,0.18008243044426217,rRNA
NZ_CP029463.1/456417-454912,195,6,46.34603145232569,52.95652173913044,0.875171365684311,58.333333333333336,25.0,8.366763954012624,46.88533045259669,0.17845163664724134,rRNA
NZ_CP029463.1/940431-938927,195,6,45.33279587508972,54.26086956521739,0.8354601803902754,60.49382716049383,25.0,8.842421865550193,46.62550040765922,0.18964776331060332,rRNA
NZ_CP029463.1/2900078-2902948,183,6,35.41730767548936,37.78378378378378,0.9373679427704624,60.0,22.22222222222222,8.502200377637157,43.78944889922594,0.1941609358273392,rRNA
